"countryFormation","eng_label2","MinDistance"
"Antigua and Barbuda","Antigua and Barbuda","0.0e0"
"Argentina","Argentina","0.0e0"
"Aruba","Aruba","0.0e0"
"Australia","Australia","0.0e0"
"Austria","Austria","0.0e0"
"Azerbaijan","Azerbaijan","0.0e0"
"Bahamas","Bahamas","0.0e0"
"Bahrain","Bahrain","0.0e0"
"Barbados","Barbados","0.0e0"
"Belarus","Belarus","0.0e0"
"Belgium","Belgium","0.0e0"
"Belize","Belize","0.0e0"
"Bermuda","Bermuda","0.0e0"
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","0.0e0"
"Botswana","Botswana","0.0e0"
"Brazil","Brazil","0.0e0"
"Bulgaria","Bulgaria","0.0e0"
"Cambodia","Cambodia","0.0e0"
"Canada","Canada","0.0e0"
"Cayman Islands","Cayman Islands","0.0e0"
"Chile","Chile","0.0e0"
"China","China","0.0e0"
"Colombia","Colombia","0.0e0"
"Cook Islands","Cook Islands","0.0e0"
"Costa Rica","Costa Rica","0.0e0"
"Croatia","Croatia","0.0e0"
"Curaçao","Curaçao","0.0e0"
"Cyprus","Cyprus","0.0e0"
"Czechia","Czechia","0.0e0"
"Denmark","Denmark","0.0e0"
"Dominican Republic","Dominican Republic","0.0e0"
"Ecuador","Ecuador","0.0e0"
"Estonia","Estonia","0.0e0"
"Finland","Finland","0.0e0"
"France","France","0.0e0"
"Germany","Germany","0.0e0"
"Ghana","Ghana","0.0e0"
"Gibraltar","Gibraltar","0.0e0"
"Greece","Greece","0.0e0"
"Guam","Guam","0.0e0"
"Guatemala","Guatemala","0.0e0"
"Guernsey","Guernsey","0.0e0"
"Honduras","Honduras","0.0e0"
"Hong Kong","Hong Kong","0.0e0"
"Hungary","Hungary","0.0e0"
"Iceland","Iceland","0.0e0"
"India","India","0.0e0"
"Indonesia","Indonesia","0.0e0"
"Ireland","Ireland","0.0e0"
"Isle of Man","Isle of Man","0.0e0"
"Italy","Italy","0.0e0"
"Jamaica","Jamaica","0.0e0"
"Japan","Japan","0.0e0"
"Jersey","Jersey","0.0e0"
"Jordan","Jordan","0.0e0"
"Kuwait","Kuwait","0.0e0"
"Latvia","Latvia","0.0e0"
"Lesotho","Lesotho","0.0e0"
"Liechtenstein","Liechtenstein","0.0e0"
"Lithuania","Lithuania","0.0e0"
"Luxembourg","Luxembourg","0.0e0"
"Malaysia","Malaysia","0.0e0"
"Malta","Malta","0.0e0"
"Marshall Islands","Marshall Islands","0.0e0"
"Mauritius","Mauritius","0.0e0"
"Mexico","Mexico","0.0e0"
"Monaco","Monaco","0.0e0"
"Netherlands","Netherlands","0.0e0"
"New Zealand","New Zealand","0.0e0"
"North Macedonia","North Macedonia","0.0e0"
"Norway","Norway","0.0e0"
"Pakistan","Pakistan","0.0e0"
"Panama","Panama","0.0e0"
"Papua New Guinea","Papua New Guinea","0.0e0"
"Paraguay","Paraguay","0.0e0"
"Peru","Peru","0.0e0"
"Philippines","Philippines","0.0e0"
"Poland","Poland","0.0e0"
"Portugal","Portugal","0.0e0"
"Puerto Rico","Puerto Rico","0.0e0"
"Qatar","Qatar","0.0e0"
"Romania","Romania","0.0e0"
"Saint Kitts and Nevis","Saint Kitts and Nevis","0.0e0"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","0.0e0"
"Samoa","Samoa","0.0e0"
"Saudi Arabia","Saudi Arabia","0.0e0"
"Serbia","Serbia","0.0e0"
"Seychelles","Seychelles","0.0e0"
"Singapore","Singapore","0.0e0"
"Sint Maarten","Sint Maarten","0.0e0"
"Slovakia","Slovakia","0.0e0"
"Slovenia","Slovenia","0.0e0"
"Solomon Islands","Solomon Islands","0.0e0"
"South Africa","South Africa","0.0e0"
"Spain","Spain","0.0e0"
"Suriname","Suriname","0.0e0"
"Sweden","Sweden","0.0e0"
"Switzerland","Switzerland","0.0e0"
"Thailand","Thailand","0.0e0"
"Tonga","Tonga","0.0e0"
"Tunisia","Tunisia","0.0e0"
"Tuvalu","Tuvalu","0.0e0"
"Türkiye","Türkiye","0.0e0"
"United Arab Emirates","United Arab Emirates","0.0e0"
"Vanuatu","Vanuatu","0.0e0"
"Kosovo","Kosovo*","0.02857142857142858e0"
"Viet Nam","Vietnam","0.07857142857142851e0"
"United States of America","United States","0.09166666666666667e0"
"Myanmar","Myanmar/Burma","0.09230769230769231e0"
"Brunei Darussalam","Brunei","0.12941176470588234e0"
"Russian Federation","Russia","0.13333333333333341e0"
"United Kingdom of Great Britain and Northern Ireland","United Kingdom","0.1461538461538462e0"
"Taiwan (Province of China)","Taiwan","0.15384615384615385e0"
"Bolivia (Plurinational State of)","Bolivia","0.15625e0"
"Virgin Islands (British)","British Virgin Islands","0.2552498670919724e0"
"Virgin Islands (U.S.)","Finland","0.2857142857142857e0"
"Korea (Republic of)","Puerto Rico","0.3255582137161085e0"